OmniServey,ओमनीसर्वे,
Online,ऑनलाइन,
Offline,ऑफलाइन,
Surveys,सर्वेक्षण,
WAL Queue,कतार (ऑफलाइन),
System,सिस्टम,
Offline Ready ✓,ऑफलाइन तैयार ✓,
Active Session,सक्रिय सत्र,
Refresh,रिफ्रेश,
Backup,बैकअप,
Exit Form,← बाहर निकलें,
Step,चरण,
of,का,
Pages,पृष्ठ,
Questions,प्रश्न,
Previous,← पिछला,
Next,अगला →,
Save Offline,💾 ऑफलाइन सेव करें,
Save Survey,✓ सर्वे सुरक्षित करें,
Submit Survey,✓ सबमिट करें,
Capture GPS Coordinates,📍 जीपीएस लोकेशन रिकॉर्ड करें,
GPS Fix Acquired ✓,जीपीएस लोकेशन प्राप्त हुआ ✓,
Re-acquire Fix,पुनः प्रयास करें,
View on Map →,नक्शे पर देखें →,
Take Photo / Choose File,📷 फोटो लें / फाइल चुनें,
Compressed (<150KB) with GPS & Timestamp Watermark,जीपीएस और समय मोहर के साथ संपीड़ित,
Sign inside box with finger or stylus,अपनी उंगली या स्टाइलस से बॉक्स में हस्ताक्षर करें,
Clear Signature,🗑 हस्ताक्षर मिटाएं,
Signature Recorded,हस्ताक्षर दर्ज हुआ,
Enter response here...,यहाँ उत्तर दर्ज करें...,
Row,पंक्ति,
Delete,हटाएं,
+ Add Item Row,+ नई पंक्ति जोड़ें,
No Accessible Survey Templates,कोई सर्वेक्षण टेम्पलेट उपलब्ध नहीं है,
Your account,आपका खाता,
does not currently have permission to access any published templates.,वर्तमान में किसी भी प्रकाशित टेम्पलेट को देखने की अनुमति नहीं रखता है।,
Re-Check Permissions,⟳ अनुमतियों की पुनः जाँच करें,
Search templates by title or category...,शीर्षक या श्रेणी द्वारा खोजें...,
Start Survey Form,सर्वेक्षण फॉर्म शुरू करें,
Start Survey Form →,सर्वेक्षण फॉर्म शुरू करें →,
Resume Survey →,सर्वेक्षण जारी रखें →,
Write-Ahead Log (WAL),राइट-अहेड लॉग (WAL कतार),
Atomic zero-loss local storage queue,शून्य डेटा हानि सुरक्षित स्थानीय भंडारण,
Sync Now,⟳ अभी सिंक करें,
Synced ✓,सर्वर पर सिंक हुआ ✓,
Saved Offline,ऑफलाइन सुरक्षित,
Pending Sync,सिंक बाकी है,
Draft Saved Offline,ड्राफ्ट ऑफलाइन सुरक्षित,
No survey submissions recorded yet. Start a survey to capture data offline!,अभी तक कोई सर्वेक्षण दर्ज नहीं हुआ है। ऑफलाइन डेटा दर्ज करने के लिए सर्वे शुरू करें!,
Section A: Basic Details,भाग क: बुनियादी विवरण,
Section B: Respondent & Household Profile,भाग ख: उत्तरदाता और परिवार की प्रोफ़ाइल,
Section C: Enterprise Operations & Finance,भाग ग: उद्यम संचालन और वित्त,
Section D: Enterprise Challenges & Coping Mechanisms,भाग घ: उद्यम चुनौतियाँ और समाधान,
Section E: Impact of SVEP / OSF Schemes,भाग ङ: एसवीईपी / ओएसएफ योजनाओं का प्रभाव,
Section F: Digital Transactions & Social Media,भाग च: डिजिटल लेन-देन और सोशल मीडिया,
Section G: Field Verification & Sign-off,भाग छ: फील्ड सत्यापन और हस्ताक्षर,
Study on Performance of SHG-led Women Entrepreneurs,राजस्थान में एसएचजी-नेतृत्व वाली महिला उद्यमियों के प्रदर्शन का अध्ययन,
Himalayan Baseline Impact Survey,हिमालयन बेसलाइन इम्पैक्ट सर्वेक्षण,
1. Household & Demographic Profile,1. पारिवारिक और जनसांख्यिकीय प्रोफ़ाइल,
2. Economic Activity & Livestock,2. आर्थिक गतिविधि और पशुधन,
3. Geolocation & Digital Verification,3. भू-स्थान एवं डिजिटल सत्यापन,
District,जिला,
Block / Tehsil,ब्लॉक / तहसील,
Village / Gram Panchayat Name,गाँव / ग्राम पंचायत का नाम,
Cluster Level Federation (CLF) Name,क्लस्टर लेवल फेडरेशन (CLF) का नाम,
Village Organization (VO) Name,ग्राम संगठन (VO) का नाम,
Self-Help Group (SHG) Name,स्वयं सहायता समूह (SHG) का नाम,
Respondent Name,उत्तरदाता का नाम,
Enterprise / Business Name,उद्यम / व्यवसाय का नाम,
Year of Setting Up Enterprise,उद्यम स्थापना का वर्ष,
Main Business Activity of the Enterprise,उद्यम की मुख्य व्यावसायिक गतिविधि,
What is respondent's relation with SHG member?,उत्तरदाता का एसएचजी सदस्य से क्या संबंध है?,
What is the age of SHG member?,एसएचजी सदस्य की आयु क्या है?,
What is the marital status of the SHG member?,एसएचजी सदस्य की वैवाहिक स्थिति क्या है?,
What is the social category / caste?,सामाजिक श्रेणी / जाति क्या है?,
What is the education status of the SHG member?,एसएचजी सदस्य की शैक्षणिक स्थिति क्या है?,
How many total members are in the family?,परिवार में कुल कितने सदस्य हैं?,
What is your total annual household income?,आपकी कुल वार्षिक पारिवारिक आय कितनी है?,
What is your role in the SHG?,एसएचजी में आपकी भूमिका क्या है?,
Are you related to any of the SVEP / OSF CRP?,क्या आप किसी SVEP / OSF CRP से संबंधित हैं?,
Who started the enterprise?,उद्यम किसने शुरू किया था?,
Who operates and manages the enterprise on a daily basis?,दैनिक आधार पर उद्यम का संचालन और प्रबंधन कौन करता है?,
For how many hours in a day does the shop/enterprise remain open?,दिन में कितने घंटे दुकान/उद्यम खुला रहता है?,
What is the type of business place / premises?,व्यावसायिक स्थान/परिसर का प्रकार क्या है?,
Does SHG member maintain written records of business transactions regularly?,क्या एसएचजी सदस्य नियमित रूप से व्यावसायिक लेन-देन का लिखित रिकॉर्ड रखते हैं?,
"In the first year of your enterprise, what was the amount of seed capital (Rs)?",आपके उद्यम के पहले वर्ष में प्रारंभिक बीज पूंजी की राशि (रु) क्या थी?,
How do you manage working capital during peak season?,पीक सीजन के दौरान आप कार्यशील पूंजी का प्रबंधन कैसे करते हैं?,
Is the location of your space convenient for your business?,क्या आपके स्थान की स्थिति आपके व्यवसाय के लिए सुविधाजनक है?,
Are you satisfied and happy with your wholesale supplier?,क्या आप अपने थोक सप्लायर से संतुष्ट और खुश हैं?,
